Experiment,Model,Features,MAE,RMSE,MAPE (%),R2,Training_Time_Seconds
E9_All_Features,Extra Trees,24,0.3238573543600175,0.460497110099217,43.90320843960273,0.5990801127664354,2.74558162689209
E7_Base_Calendar_Rolling,Gradient Boosting,15,0.3277793018909067,0.4648888006032973,42.70550089827349,0.5913966252363396,6.310363292694092
E6_Base_Calendar_Lag,Gradient Boosting,15,0.3326242137058,0.4663151520879748,44.58447558918336,0.5888854608087563,10.519795179367064
E5_Base_Cyclical,Gradient Boosting,12,0.328862323359119,0.4667499947645417,42.92543486370381,0.588118368004221,3.6923787593841553
E2_Base_Calendar,Gradient Boosting,12,0.3346359277519048,0.4698593272578005,44.1344796142056,0.5826124540157147,3.736953258514404
E8_Base_Lag_Rolling,Extra Trees,12,0.3461352984886626,0.4862179494813434,46.44610715344939,0.5530429867005018,1.6039295196533203
E4_Base_Rolling,Random Forest,9,0.351683725396351,0.4966723759481332,46.14463359875736,0.5336158384655958,2.7053873538970947
E3_Base_Lag,Gradient Boosting,9,0.3627464189328117,0.4995130800519568,49.854065698830745,0.5282656389595577,4.927847862243652
E1_Base,Gradient Boosting,6,0.3755735850105285,0.5165718828532505,50.57282877428759,0.4954951927816774,2.809560537338257
